Original order,Case Number,Date,Year,Country,Area,Location,Injury,Fatal (Y/N),Investigator or Source,Date_propre
5993,2016.09.18.c,18-Sep-16,2016,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to thigh,N,"Orlando Sentinel, 9/19/2016",2016-09-18
5992,2016.09.18.b,18-Sep-16,2016,USA,Florida,"New Smyrna Beach, Volusia County",Lacerations to hands,N,"Orlando Sentinel, 9/19/2016",2016-09-18
5991,2016.09.18.a,18-Sep-16,2016,USA,Florida,"New Smyrna Beach, Volusia County",Lacerations to lower leg,N,"Orlando Sentinel, 9/19/2016",2016-09-18
5990,2016.09.17,17-Sep-16,2016,AUSTRALIA,Victoria,Thirteenth Beach,Struck by fin on chest & leg,N,"The Age, 9/18/2016",2016-09-17
5989,2016.09.15,16-Sep-16,2016,AUSTRALIA,Victoria,Bells Beach,No injury: Knocked off board by shark,N,"The Age, 9/16/2016",2016-09-15
5988,2016.09.15.R,15-Sep-16,2016,AUSTRALIA,Western Australia,Bunbury,Shark rammed boat. No injury to occupant,N,"West Australian, 9/15/2016",2016-09-15
5987,2016.09.11,11-Sep-16,2016,USA,Florida,"Ponte Vedra, St. Johns County",Minor injury to arm,N,"News4Jax, 9/11/2016",2016-09-11
5986,2016.09.07,07-Sep-16,2016,USA,Hawaii,"Makaha, Oahu",Severe lacerations to shoulder & forearm,N,"Hawaii News Now, 9/7/2016",2016-09-07
5985,2016.09.06,06-Sep-16,2016,NEW CALEDONIA,North Province,Koumac,FATAL,Y,"TVANouvelles, 9/6/2016",2016-09-06
5984,2016.09.05.b,05-Sep-16,2016,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Lacerations & punctures to lower right leg,N,"C. Creswell, GSAF",2016-09-05
5983,2016.09.05.a,05-Sep-16,2016,AUSTRALIA,Western Australia,Injidup ,"No inury, board broken in half by shark",N,"Perth Now, 9/5/2016",2016-09-05
5982,2016.09.04,04-Sep-16,2016,USA,Florida,"New Smyrna Beach, Volusia County",Foot bitten,N,"Orlando Sentinel, 9/7/2016",2016-09-04
5981,2016.09.01,01-Sep-16,2016,USA,California,"Refugio State Beach, Santa Barbara County",Two toes broken & lacerated,N,"R. Collier, GSAF",2016-09-01
5980,2016.08.29.b,29-Aug-16,2016,USA,Florida,"New Smyrna Beach, Volusia County",Lacerations to right foot,N,"News Channel 8, 8/30/16",2016-08-29
5979,2016.08.29.a,29-Aug-16,2016,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to ankle,N,"News Channel 8, 8/30/16",2016-08-29
5978,2016.08.27,27-Aug-16,2016,REUNION,nc.,Boucan Canot,"Right arm severed, ankle severely bitten",N,"LaDepeche, 8/29/2016",2016-08-27
5977,2016.08.25,25-Aug-16,2016,USA,Florida,"Ponte Vedra, St. Johns County",Minor injury to ankle,N,"First Coast News, 7/25/2016",2016-08-25
5976,2016.08.07,07-Aug-16,2016,BAHAMAS,New Providence Island,Nassau,Lacerations to left leg,N,"ABC, 8/11/2016",2016-08-07
5975,2016.08.06,06-Aug-16,2016,USA,Hawaii,Maui,"No inury, shark & board collided",N,"SUP, 8/9/2015",2016-08-06
5974,2016.08.04,04-Aug-16,2016,USA,Florida,"New Smyrna Beach, Volusia County",Big toe bitten,N,"News 965, 8/5/2016",2016-08-04
5973,2016.07.29,29-Jul-16,2016,SPAIN,Alicante Province,Arenales del Sol,Lacerations to right hand,N,"Informacion.es, 7/29/2016",2016-07-29
5972,2016.07.28.R,28-Jul-16,2016,CHINA,Hong Kong,nc.,Lacerations to leg,N,"Klassick, 7/28/2016",2016-07-28
5971,2016.07.28,28-Jul-16,2016,AUSTRALIA,Western Australia,Near Albany,"No injury, shark nudged kayak repeatedly",N,"ABC Australia, 7/28/2016",2016-07-28
5970,2016.07.27,27-Jul-16,2016,USA,Florida,"Florida Keys, Monroe County",Laceration to left forearm PROVOKED INCIDENT,N,"Tampa Bay Times, 7/27/2016",2016-07-27
5969,2016.07.26,26-Jul-16,2016,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina","No injury. Leg rope severed, knocked off board by shark",N,"Gold Coast Bulletin, 7/28/2016",2016-07-26
5968,2016.07.24,24-Jul-16,2016,JAPAN,Kochi Prefecture,Irino Beach,Lacerations to left leg,N,"Japan Times, 7/25/2016",2016-07-24
5967,2016.07.23.b,23-Jul-16,2016,AUSTRALIA,Tasmania,Clifton Beach,Calf bumped but no injury,N,"C. Black, GSAF",2016-07-23
5966,2016.07.23.a,23-Jul-16,2016,BAHAMAS,Abaco Islands,Green Turtle Cay,Lacerations to face and right leg,N,"KWTX, 7/23/2016",2016-07-23
5965,2016.07.20,20-Jul-16,2016,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Laceration to left calf from hooked shark PROVOKED INCIDENT,N,"Nine News, 7/20/2016",2016-07-20
5964,2016.07.17,17-Jul-16,2016,USA,Alabama,8 miles off Mobile,"No injury, shark bit trolling motor",N,"Al.com, 7/19/2016",2016-07-17
5963,2016.07.16.b,16-Jul-16,2016,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to leg,N,"Orlando Sentinel, 7/21/2016",2016-07-16
5962,2016.07.16.a,16-Jul-16,2016,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to toes,N,"Orlando Sentinel, 7/21/2016",2016-07-16
5961,2016.07.15,15-Jul-16,2016,USA,South Carolina,"North Myrtle Beach, Horry County",Puncture wounds to foot,N,"C. Creswell, GSAF",2016-07-15
5960,2016.07.14.4,Reported  14-Jul-2016,2016,BAHAMAS,nc.,Tiger Beach,Face bruised when partly blind shark collided with him,N,"GrindTV, 7/14/2016",2016-07-14
