Original order,Case Number,URL Report1,URL Report2
5993,2016.09.18.c,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf
5992,2016.09.18.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf
5991,2016.09.18.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf
5990,2016.09.17,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-Angiolella.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-Angiolella.pdf
5989,2016.09.16,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.16-BellsBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.16-BellsBeach.pdf
5988,2016.09.15.R,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.R-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.R-boat.pdf
5987,2016.09.11,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf
5986,2016.09.07,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Oahu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Oahu.pdf
5985,2016.09.06,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-Jewell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-Jewell.pdf
5984,2016.09.05.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf
5983,2016.09.05.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-Penman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-Penman.pdf
5982,2016.09.04,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf
5981,2016.09.01,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf
5980,2016.08.29.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf
5979,2016.08.29.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf
5978,2016.08.27,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-Chardard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-Chardard.pdf
5977,2016.08.25,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf
5976,2016.08.07,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-Stoch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-Stoch.pdf
5975,2016.08.06,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf
5974,2016.08.04,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf
5973,2016.07.29,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.29-Spain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.29-Spain.pdf
